index,limit,speaker,original,translation
0,41,0,��������The fake sign's ready! Heeheehee!,
1,77,0,"Soon the Chosen Child will appear,\nsee the sign, and fall right into\nmy trap!",
2,53,0,"I have to do something, or else\nLord Vamdemon will...",
3,49,0,"Koushirou, can we rest for a bit?\nI'm dead tired.",
4,43,0,We have to find Gennai as soon as\npossible!,
5,33,0,But it's already been two months.,
6,52,0,"I'll keep going, no matter how\nmany months it takes.",
7,29,0,Koushirou! Wait for meeeeeee!,
8,61,0,"If we meet Gennai, we can learn\nthe secret behind the Crests!",
9,83,0,"You know, Koushirou, the fact that\nyou're always curious is what I \nlike about you.",
10,54,0,"Stop, I'm getting embarrassed.\nAnyway, where's Gennai?",
11,43,0,But we didn't even take a break!\nKoushirou!,
12,16,0,Ah! It's a sign.,
13,33,0,"""Beware of Falling Poop Ahead""...",
14,12,0,What's this?,
15,51,0,"Huh? If it says that, then we\nshould take a detour.",
16,13,0,Heeheeheehee!,
17,33,0,This area really is full of poop.,
18,55,0,I wanna get through this mountain\nas quickly as we can!,
19,32,0,But these signs are a huge help.,
20,17,0,Ah! Another sign!,
21,51,0,Seems like this time we should go\nthis way instead.,
22,16,0,Ah! Uwaaaaaaaah!,
23,15,0,W-Waaaaaaaaaah!,
24,37,0,"I did it, I did it! A great\nsuccess!!",
25,12,0,Aaaaaaaaaah!,
26,12,0,Aaaaaaaaaah!,
27,24,0,"Can't you fly, Tentomon?",
28,62,0,I can't fly! Tryin' to fly just\nmakes me fall right back down!,
29,37,0,How far are we going to keep\nfalling?,
30,8,0,To Hell.,
31,25,0,Hell? Don't mess with us!,
32,29,0,No! I don't wanna go to Hell!,
33,53,0,Those who are possessed by greed\nwill fall into Hell.,
34,60,0,"I don't believe we're possessed by\nany type of greed, but...",
35,66,0,"No, you are possessed, by the\ngreed of wanting to know\neverything.",
36,7,0,No way!,
37,31,0,Do you want to fall into Hell?!,
38,31,0,I don't want to faaaaaaaaaaall!,
39,16,0,"I don't, either!",
40,39,0,Then throw away your inquisitive\nheart!,
41,46,0,"But Koushirou, that's what I like\nabout you...",
42,52,0,But at this rate we're both going\nto fall into Hell!,
43,12,0,Aaaaaaaaaah!,
44,23,0,How do I throw it away?,
45,12,0,Pray for it!,
